year,month,total_sales
2010,1,1058113.056
2010,2,1222416.822
2010,3,1696468.175
2010,4,1341040.4
2010,5,1541181.886
2010,6,1233068.182
2010,7,1619739.294
2010,8,1110814.289
2010,9,1462553.709
2010,10,1346005.64
2010,11,1545248.014
2010,12,1703992.7989999999
2011,1,1144930.094
2011,2,1472644.278
2011,3,1344436.432
2011,4,1343458.575
2011,5,1295824.052
2011,6,1524863.314
2011,7,1500361.913
2011,8,1603466.491
2011,9,1403392.22
2011,10,1518099.817
2011,11,1643968.112
2011,12,1756397.84
2012,1,1263830.305
2012,2,1336698.775
2012,3,1218661.198
2012,4,1570709.84
2012,5,1252237.404
2012,6,1396602.655
2012,7,1568676.359
2012,8,1244963.607
2012,9,1281934.898
2012,10,1466116.653
2012,11,1465820.648
2012,12,2035950.91
2013,1,1453288.842
2013,2,1268589.014
2013,3,1493234.069
2013,4,1585392.382
2013,5,1371314.655
2013,6,1528164.473
2013,7,1917447.848
2013,8,1511848.74
2013,9,1642254.665
2013,10,1754121.5050000001
2013,11,1900440.932
2013,12,2177871.388
2014,1,1367976.836
2014,2,1516795.257
2014,3,1492329.67
2014,4,1964604.115
2014,5,1561374.455
2014,6,1995459.054
2014,7,2367493.349
2014,8,1580325.27
2014,9,1926052.045
2014,10,1994884.876
2014,11,2127463.167
2014,12,2373761.34
2015,1,1346355.704
2015,2,1747472.858
2015,3,1871421.417
2015,4,1832256.751
2015,5,1711488.987
2015,6,1956798.701
2015,7,2207357.272
2015,8,1484214.946
2015,9,1883112.681
2015,10,1853433.017
2015,11,1944095.1570000001
2015,12,2333525.444
2016,1,1516913.355
2016,2,1578020.139
2016,3,1870769.89
2016,4,1982226.999
2016,5,1828211.324
2016,6,1907351.908
2016,7,1711704.215
2016,8,2353519.223
2016,9,2062297.861
2016,10,1722068.775
2016,11,2253492.844
2016,12,2723256.996
2017,1,1716281.116
2017,2,1803187.1670000001
2017,3,1870286.063
2017,4,2117629.026
2017,5,2056550.762
2017,6,2196984.856
2017,7,2026293.22
2017,8,2290105.04
2017,9,1816028.109
2017,10,2189198.585
2017,11,2759163.582
2017,12,2724997.548
2018,1,1961436.308
2018,2,1760422.91
2018,3,1976348.52
2018,4,2059830.241
2018,5,2116133.611
2018,6,2090340.9070000001
2018,7,2130426.289
2018,8,2323358.646
2018,9,1644344.826
